ＧｉＧＯＭＥＧＡドン・キホーテ函館,北海道函館市美原１−７−１　ＭＥＧＡドン・キホーテ函館店２Ｆ,"https://maps.google.com/maps?q=ＧｉＧＯＭＥＧＡドン・キホーテ函館@41.8135092,140.7562953",41.8135092,140.7562953,gigo,北海道,,函館市,,美原１−７−１　ＭＥＧＡドン・キホーテ函館店２Ｆ,-1,-1,-1,-1,-1
ＧｉＧＯＭＥＧＡドン・キホーテ勝田,茨城県ひたちなか市石川町１−１ＭＥＧＡドン・キホーテ勝田店２Ｆ,"https://maps.google.com/maps?q=ＧｉＧＯＭＥＧＡドン・キホーテ勝田@36.3931124,140.5274577",36.3931124,140.5274577,gigo,茨城県,,ひたちなか市,,石川町１−１ＭＥＧＡドン・キホーテ勝田店２Ｆ,-1,-1,-1,-1,-1
ＧｉＧＯＭＥＧＡドン・キホーテ桐生,群馬県桐生市永楽町５−１０ＭＥＧＡドン・キホーテ桐生店３Ｆ,"https://maps.google.com/maps?q=ＧｉＧＯＭＥＧＡドン・キホーテ桐生@36.41249440512736,139.33585527459104",36.41249441,139.3358553,gigo,群馬県,,桐生市,,永楽町５−１０ＭＥＧＡドン・キホーテ桐生店３Ｆ,-1,-1,-1,-1,-1
ＧｉＧＯＭＯＭＯテラス京都伏見,京都府京都市伏見区桃山町山ノ下３２京都ＳＣビルＡＭ棟２Ｆ,"https://maps.google.com/maps?q=ＧｉＧＯＭＯＭＯテラス京都伏見@34.93735467971991,135.7951228951065",34.93735468,135.7951229,gigo,京都,,府京都市,伏見区,桃山町山ノ下３２京都ＳＣビルＡＭ棟２Ｆ,-1,10,0,22,0
ＧｉＧＯｍｏｚｏワンダーシティ,愛知県名古屋市西区二方町４０番,"https://maps.google.com/maps?q=ＧｉＧＯｍｏｚｏワンダーシティ@35.22488290152679,136.88343997462152",35.2248829,136.88344,gigo,愛知県,,名古屋市,西区,二方町４０番,-1,10,0,22,0
ＧｉＧＯアクアウォーク大垣,岐阜県大垣市林町６ー８０ー２１アクアウォーク大垣２Ｆ,"https://maps.google.com/maps?q=ＧｉＧＯアクアウォーク大垣@35.36878559076029,136.616647167235",35.36878559,136.6166472,gigo,岐阜県,,大垣市,,林町６ー８０ー２１アクアウォーク大垣２Ｆ,-1,9,30,22,0
ＧｉＧＯアドバンスモール松阪,三重県松阪市田村町２３５−１,"https://maps.google.com/maps?q=ＧｉＧＯアドバンスモール松阪@34.55389737480224,136.51466078203123",34.55389737,136.5146608,gigo,三重県,,松阪市,,田村町２３５−１,-1,10,0,24,0
ＧｉＧＯあべのアポロ３階,大阪府大阪市阿倍野区阿倍野筋１−５−３１アポロビル３Ｆ,"https://maps.google.com/maps?q=ＧｉＧＯあべのアポロ３階@34.6465681,135.5117823",34.6465681,135.5117823,gigo,大阪府,,大阪市,阿倍野区,阿倍野筋１−５−３１アポロビル３Ｆ,-1,10,0,24,0
ＧｉＧＯアミュプラザくまもと,熊本県熊本市西区春日三丁目１５番２６号６Ｆ　６１８区画,"https://maps.google.com/maps?q=ＧｉＧＯアミュプラザくまもと@32.7889001,130.688284",32.7889001,130.688284,gigo,熊本県,,熊本市,西区,春日三丁目１５番２６号６Ｆ　６１８区画,-1,10,0,20,0
ＧｉＧＯアミュプラザみやざき,宮崎県宮崎市老松２丁目２番２２号アミュプラザみやざき　うみ館,"https://maps.google.com/maps?q=ＧｉＧＯアミュプラザみやざき@31.9142659,131.4315529",31.9142659,131.4315529,gigo,宮崎県,,宮崎市,,老松２丁目２番２２号アミュプラザみやざき　うみ館,-1,10,0,22,0
ＧｉＧＯアリオ葛西,東京都江戸川区東葛西９−３−３イトーヨーカドー３Ｆ,"https://maps.google.com/maps?q=ＧｉＧＯアリオ葛西@35.6525142654189,139.8817871559586",35.65251427,139.8817872,gigo,東京都,,江戸川区,,東葛西９−３−３イトーヨーカドー３Ｆ,-1,10,0,23,30
ＧｉＧＯアルパーク北棟,広島県広島市西区草津南４ー７ー１アルパーク北棟２Ｆ,"https://maps.google.com/maps?q=ＧｉＧＯアルパーク北棟@34.375512,132.3933319",34.375512,132.3933319,gigo,広島県,,広島市,西区,草津南４ー７ー１アルパーク北棟２Ｆ,-1,10,0,22,0
ＧｉＧＯアルプラザ金沢,石川県金沢市諸江町３０−１,"https://maps.google.com/maps?q=ＧｉＧＯアルプラザ金沢@36.59108678632905,136.64315401268925",36.59108679,136.643154,gigo,石川県,,金沢市,,諸江町３０−１,-1,10,0,22,0
ＧｉＧＯイオンタウン金沢示野,石川県金沢市戸板西２−１,"https://maps.google.com/maps?q=ＧｉＧＯイオンタウン金沢示野@36.5792048849774,136.61588502365373",36.57920488,136.615885,gigo,石川県,,金沢市,,戸板西２−１,-1,10,0,24,0
ＧｉＧＯイオンタウン名西,愛知県名古屋市西区香呑町６−４９−１イオンタウン名西２Ｆ,"https://maps.google.com/maps?q=ＧｉＧＯイオンタウン名西@35.20412703203152,136.8925984994446",35.20412703,136.8925985,gigo,愛知県,,名古屋市,西区,香呑町６−４９−１イオンタウン名西２Ｆ,-1,9,0,21,0
ＧｉＧＯイオンタウン小郡,山口県山口市小郡前田町３−６イオンタウン小郡内,"https://maps.google.com/maps?q=ＧｉＧＯイオンタウン小郡@34.0869865,131.3986628",34.0869865,131.3986628,gigo,山口県,,山口市,,小郡前田町３−６イオンタウン小郡内,-1,10,0,24,0
ＧｉＧＯイオンタウン刈谷,愛知県刈谷市東境町京和１,"https://maps.google.com/maps?q=ＧｉＧＯイオンタウン刈谷@35.03880785654121,137.0267692465576",35.03880786,137.0267692,gigo,愛知県,,刈谷市,,東境町京和１,-1,10,0,24,0
ＧｉＧＯイオンモールむさし村山,東京都武蔵村山市榎１−１−３−２０５９,"https://maps.google.com/maps?q=ＧｉＧＯイオンモールむさし村山@35.74674134619979,139.3850665018524",35.74674135,139.3850665,gigo,東京都,,武蔵村山市,,榎１−１−３−２０５９,-1,10,0,22,0
ＧｉＧＯイオンモール岡山,岡山県岡山市北区下石井１−２−１イオンモール岡山６Ｆ,"https://maps.google.com/maps?q=ＧｉＧＯイオンモール岡山@34.66204370455914,133.91779530307576",34.6620437,133.9177953,gigo,岡山県,,岡山市,北区,下石井１−２−１イオンモール岡山６Ｆ,-1,10,0,23,0
ＧｉＧＯイオンモール高岡,富山県高岡市下伏間３８３　イオンモール高岡２Ｆ２００１Ａ区画,"https://maps.google.com/maps?q=ＧｉＧＯイオンモール高岡@36.724506323474536,137.01685695251467",36.72450632,137.016857,gigo,富山県,,高岡市,,下伏間３８３　イオンモール高岡２Ｆ２００１Ａ区画,-1,-1,-1,-1,-1
ＧｉＧＯイオンモール高松,香川県高松市香西本町1-1 イオンモール高松2F　227-2,"https://maps.google.com/maps?q=ＧｉＧＯイオンモール高松@34.3524161,134.0050942",34.3524161,134.0050942,gigo,香川県,,高松市,,香西本町1-1 イオンモール高松2F　227-2,-1,10,0,21,0
ＧｉＧＯイオンモール木曽川,愛知県一宮市木曽川町黒田八ヶ池２５−１イオンモール木曽川３Ｆ,"https://maps.google.com/maps?q=ＧｉＧＯイオンモール木曽川@35.34896885845113,136.7735999073791",35.34896886,136.7735999,gigo,愛知県,,一宮市,,木曽川町黒田八ヶ池２５−１イオンモール木曽川３Ｆ,-1,10,0,23,0
ＧｉＧＯイオンモール浦和美園,埼玉県さいたま市緑区美園５−５０−１イオンモール浦和美園２Ｆ,"https://maps.google.com/maps?q=ＧｉＧＯイオンモール浦和美園@35.8912268,139.731012",35.8912268,139.731012,gigo,埼玉県,,さいたま市,緑区,美園５−５０−１イオンモール浦和美園２Ｆ,-1,10,0,21,0
ＧｉＧＯイオンモール苫小牧,北海道苫小牧市柳町３丁目１番２０号イオンモール苫小牧２階,"https://maps.google.com/maps?q=ＧｉＧＯイオンモール苫小牧@42.656318651942605,141.64203722009893",42.65631865,141.6420372,gigo,北海道,,苫小牧市,,柳町３丁目１番２０号イオンモール苫小牧２階,-1,-1,-1,-1,-1
ＧｉＧＯイオンモール銚子,千葉県銚子市三崎町２−２６６０−１イオンモール銚子２Ｆ,"https://maps.google.com/maps?q=ＧｉＧＯイオンモール銚子@35.7098939,140.7876201",35.7098939,140.7876201,gigo,千葉県,,銚子市,,三崎町２−２６６０−１イオンモール銚子２Ｆ,-1,10,0,22,0
